,,,,Overall,,,,,,,PP,,SH,,Defense,
Patrick Dwyer,FA,RW,75,8,14,22,-2,14,134,2,0,0,2,0,107,48
Ryan Carter,FA,LW,62,7,3,10,-6,35,69,2,0,0,0,1,72,24
Drew Miller,FA,LW,82,7,8,15,-11,21,117,1,0,0,0,0,122,63
Shawn Horcoff,FA,C,77,7,13,20,1,52,68,0,4,0,1,0,63,29
Rich Peverley,FA,C,62,7,23,30,-3,15,122,2,0,3,1,1,27,42
James Wisniewski,FA,D,75,7,44,51,0,61,166,1,3,25,0,0,101,73
Dougie Hamilton,CAR,D,64,7,18,25,22,40,114,1,2,4,0,0,73,53
Cory Conacher,TB,LW,79,7,19,26,1,50,100,2,1,0,0,0,51,27
Brian Campbell,FA,D,82,7,30,37,-6,20,116,2,2,10,0,2,50,108
Andre Benoit,FA,D,79,7,21,28,2,26,113,2,1,7,0,1,58,119
Jason Garrison,FA,D,81,7,26,33,-5,57,181,1,4,11,1,2,58,128
Emerson Etem,LA,RW,29,7,4,11,3,4,44,2,1,0,1,0,50,13
Ryan Strome,NYR,C,37,7,11,18,-1,8,89,1,4,3,0,0,29,8
Jeff Petry,MON,D,80,7,10,17,-22,42,96,0,1,1,0,0,181,132
Brent Seabrook,CHI,D,82,7,34,41,23,22,149,0,3,6,1,0,171,142
Manny Malhotra,FA,C,69,7,6,13,0,18,53,1,0,0,0,1,82,56
Andrej Meszaros,FA,D,52,7,15,22,5,40,84,0,1,1,0,0,67,64
Andrei Markov,FA,D,81,7,36,43,12,34,131,1,2,19,1,0,49,180
Eric Gelinas,FA,D,60,7,22,29,-3,22,124,2,5,12,0,0,99,20
Nick Leddy,NYI,D,82,7,24,31,10,10,123,1,4,6,0,0,52,45
Pascal Dupuis,FA,RW,39,7,13,20,6,8,97,0,0,0,0,0,68,29
Michael Bournival,FA,C,60,7,7,14,-6,18,78,1,1,2,0,0,67,42
Paul Byron,MON,C,47,7,14,21,6,27,46,1,2,1,1,3,63,10
Andrei Loktionov,FA,C,68,7,15,22,-2,14,78,2,2,4,0,0,33,15
Kris Russell,EDM,D,68,7,22,29,-11,15,109,1,4,8,0,1,42,201
Ryane Clowe,FA,LW,43,7,19,26,-10,33,74,1,3,5,0,0,82,19
Alexander Edler,VAN,D,63,7,15,22,-39,50,178,0,4,8,0,0,112,136
Marcus Foligno,MIN,LW,74,7,12,19,-17,82,79,3,0,1,1,0,206,43
Brandon Bollig,FA,LW,82,7,7,14,-1,92,109,1,0,0,0,0,203,22
Brian Flynn,FA,C,79,6,7,13,-10,14,102,0,0,0,1,0,51,55
Alex Goligoski,ARI,D,81,6,36,42,9,28,141,0,3,12,0,0,94,154
Deryk Engelland,VGK,D,56,6,6,12,-6,58,59,1,0,1,0,0,117,52
Dale Weise,MON,RW,61,6,10,16,3,59,41,1,1,0,0,0,103,26
Jamie McBain,FA,D,69,6,11,17,-13,14,98,0,2,3,0,1,34,113
Ryan Ellis,NSH,D,80,6,21,27,9,24,123,2,0,6,0,0,57,97
Erik Condra,COL,RW,76,6,10,16,0,30,85,0,0,0,1,1,28,44
Duncan Keith,CHI,D,79,6,55,61,22,28,198,3,3,18,0,1,36,89
Colin Greening,FA,LW,76,6,11,17,-15,41,108,1,2,1,0,0,225,30
Brenden Dillon,WAS,D,80,6,11,17,9,86,97,1,0,0,2,0,168,149
Chris Tanev,VAN,D,64,6,11,17,12,8,65,2,0,0,1,0,25,136
Peter Holland,FA,C,43,6,5,11,0,18,43,0,1,0,0,0,46,22
Hampus Lindholm,ANH,D,78,6,24,30,29,36,116,1,1,3,0,0,54,61
Vernon Fiddler,FA,C,76,6,17,23,3,37,109,1,0,1,0,2,45,52
Paul Ranger,FA,D,53,6,8,14,-1,36,59,0,0,0,1,0,115,72
Christian Ehrhoff,FA,D,79,6,27,33,-27,38,161,2,1,11,1,2,49,119
Jan Hejda,FA,D,78,6,11,17,8,40,75,0,0,0,0,0,170,144
Patrick Bordeleau,FA,LW,82,6,5,11,-1,115,37,1,0,0,0,0,178,14
Casey Cizikas,NYI,C,80,6,10,16,-12,30,79,1,1,1,0,2,128,48
Magnus Paajarvi,FA,LW,55,6,6,12,-6,6,60,1,0,0,0,0,26,24
Marc Methot,FA,D,75,6,17,23,0,28,117,1,0,3,0,0,181,110
Brandon Prust,FA,LW,52,6,7,13,-1,121,49,3,0,1,0,1,92,35
Daniel Winnik,FA,LW,76,6,24,30,6,23,115,2,0,0,2,2,61,62
Trevor Lewis,LA,C,73,6,5,11,-1,6,111,2,0,0,1,0,145,36
Jordan Nolan,STL,RW,64,6,4,10,-1,54,58,1,0,0,0,0,100,11
Erik Haula,FLA,C,46,6,9,15,14,29,56,1,0,0,1,0,23,17
Sami Vatanen,CAR,D,48,6,15,21,9,22,73,0,2,5,0,0,66,47
Jared Cowen,FA,D,68,6,9,15,0,45,68,2,0,1,0,0,214,99
Kimmo Timonen,FA,D,77,6,29,35,5,32,152,1,1,19,0,1,75,112
Dominic Moore,FA,C,73,6,12,18,0,18,96,1,0,0,1,2,62,24
Yannick Weber,NSH,D,49,6,4,10,-7,16,70,2,3,2,0,0,39,37
Brian Boyle,FLA,C,82,6,12,18,1,56,137,1,1,1,0,2,154,54
Seth Jones,CLS,D,77,6,19,25,-23,24,100,2,2,7,0,0,55,99
Cam Fowler,ANH,D,70,6,30,36,15,14,100,2,4,11,1,0,46,122
Kyle Chipchura,FA,C,80,5,15,20,3,45,46,0,0,0,0,0,116,9
Matt Hendricks,FA,LW,77,5,2,7,-11,112,102,1,0,0,1,0,180,59
Jake Muzzin,TOR,D,76,5,19,24,8,58,175,0,1,4,0,0,169,82
Ryan Malone,FA,LW,57,5,10,15,-7,67,95,0,0,3,0,0,75,26
Stephane Robidas,FA,D,38,5,5,10,10,20,56,1,1,0,0,0,96,49
Marc-Edouard Vlasic,SJ,D,81,5,19,24,31,38,138,0,0,1,1,1,51,150
Braydon Coburn,TB,D,82,5,12,17,-6,63,122,2,0,0,1,0,109,115
David Clarkson,TOR,RW,60,5,6,11,-14,93,102,1,1,1,0,0,159,35
Brian Gibbons,CAR,C,41,5,12,17,5,6,29,0,1,0,0,1,24,19
Jeremy Morin,FA,LW,24,5,6,11,5,32,46,0,0,0,0,0,20,2
David Savard,CLS,D,70,5,10,15,2,28,63,1,1,3,0,0,149,81
Tom Sestito,FA,LW,77,5,4,9,-14,213,31,0,1,0,0,0,121,12
Blake Comeau,DAL,LW,61,5,11,16,-2,36,107,0,0,0,0,0,197,16
Matt D'Agostini,FA,RW,57,5,7,12,-15,26,110,2,2,0,0,0,55,40
Dan Girardi,FA,D,81,5,19,24,6,16,100,0,1,2,0,2,191,174
Brendan Smith,NYR,D,71,5,14,19,-2,68,90,0,1,0,0,0,57,69
Dan Hamhuis,NSH,D,79,5,17,22,13,26,150,0,0,3,0,0,87,130
Shawn Thornton,FA,LW,64,5,3,8,3,74,93,1,0,0,0,0,111,19
Lance Bouma,LA,C,78,5,10,15,-4,41,82,0,0,0,1,0,181,87
Drew Shore,FA,C,24,5,2,7,-1,8,23,1,1,0,1,0,23,5
Matt Halischuk,FA,RW,46,5,5,10,-3,6,56,1,0,0,0,0,19,27
Jason Demers,ARI,D,75,5,29,34,14,30,105,0,1,8,0,1,69,107
Jack Johnson,PIT,D,82,5,28,33,-7,48,147,0,4,14,0,0,182,128
Nathan Horton,TOR,RW,36,5,14,19,-3,24,48,2,2,2,0,0,53,14
Jeff Halpern,FA,C,69,5,7,12,-8,24,45,1,0,0,0,0,65,33
Jared Spurgeon,MIN,D,67,5,21,26,15,16,91,1,2,5,0,0,80,107
Vincent Trocheck,CAR,C,20,5,3,8,-11,6,38,0,1,0,1,0,39,11
Justin Faulk,STL,D,76,5,27,32,-9,37,152,1,2,6,0,1,94,102
Jayson Megna,COL,LW,36,5,4,9,1,6,36,2,0,0,0,0,47,13
Johnny Boychuk,NYI,D,75,5,18,23,31,45,142,1,0,0,0,3,158,151
Derek Morris,FA,D,63,5,12,17,-2,41,82,0,0,1,0,0,99,104
Alex Burrows,FA,RW,49,5,10,15,-9,71,104,0,2,4,0,1,84,33
Craig Adams,FA,RW,82,5,6,11,-16,46,73,0,0,0,0,0,190,59
Cody McLeod,FA,LW,71,5,8,13,2,122,76,0,0,0,1,0,148,33
Cody Franson,FA,D,79,5,28,33,-20,30,115,0,1,17,0,0,282,111
Ben Lovejoy,FA,D,78,5,13,18,21,39,107,2,0,1,0,0,215,150
Mark Barberio,COL,D,49,5,5,10,10,28,54,0,1,0,0,0,28,38
Mark Fayne,FA,D,72,4,7,11,-5,30,88,0,0,0,1,0,77,83
John Moore,BOS,D,74,4,11,15,7,25,115,2,0,2,0,0,59,57
Slava Voynov,FA,D,82,4,30,34,6,44,143,0,1,12,0,0,165,69
Mike Kostka,FA,D,28,4,7,11,10,8,49,1,0,0,0,0,26,33
Stephen Gionta,FA,C,66,4,7,11,-8,18,89,1,0,0,1,0,113,25
Tyler Kennedy,FA,LW,67,4,13,17,-10,34,143,1,0,1,0,0,54,11
Michal Handzus,FA,C,59,4,12,16,0,16,50,2,0,0,1,1,35,55
Francois Beauchemin,FA,D,70,4,13,17,26,39,100,1,1,1,0,1,112,171
Jack Skille,FA,RW,16,4,0,4,2,6,23,1,0,0,0,0,19,6
Jay McClement,FA,C,81,4,6,10,-8,32,67,1,0,0,0,1,141,57
Adam Hall,FA,RW,80,4,5,9,-15,23,61,0,0,0,2,0,77,46
Tanner Glass,FA,LW,67,4,9,13,-8,90,56,0,0,0,0,0,247,57
Niklas Hjalmarsson,ARI,D,81,4,22,26,11,34,98,1,0,0,1,3,39,157
J.T. Brown,MIN,RW,63,4,15,19,-9,6,113,0,0,2,0,1,70,32
Jason Zucker,PIT,LW,21,4,1,5,2,2,40,1,1,1,0,0,16,11
Justin Braun,PHI,D,82,4,13,17,19,20,121,1,1,0,0,0,77,146
Ron Hainsey,OTT,D,82,4,11,15,-9,45,72,1,0,0,0,1,96,124
James Sheppard,FA,LW,67,4,16,20,3,35,84,0,0,1,0,0,105,34
Danny DeKeyser,DET,D,65,4,19,23,10,30,84,0,1,3,1,0,64,116
Mark Stone,VGK,RW,19,4,4,8,5,4,36,0,1,0,0,0,10,7
Patrick Wiercioch,FA,D,53,4,19,23,-1,20,97,0,3,9,0,0,54,48
Pierre-Marc Bouchard,FA,LW,28,4,5,9,-9,12,51,1,1,0,0,0,7,6
Dan Cleary,FA,LW,52,4,4,8,-11,31,64,1,0,0,0,1,51,17
Taylor Pyatt,FA,LW,56,4,1,5,-24,20,52,1,1,0,0,0,70,28
Jay Beagle,VAN,C,62,4,5,9,-9,28,60,0,0,0,0,0,93,32
Daniel Carcillo,FA,LW,57,4,1,5,-1,100,44,2,0,0,0,0,112,21
Andrew MacDonald,FA,D,82,4,24,28,-22,50,92,2,2,9,0,1,69,242
Sami Salo,FA,D,71,4,13,17,11,18,81,0,0,6,0,0,57,66
Matt Ellis,FA,C,50,4,2,6,-6,4,70,0,0,0,0,0,37,24
Quinton Howden,FA,LW,16,4,2,6,0,10,23,0,0,0,1,0,32,11
Ryan Murray,CLS,D,66,4,17,21,4,10,62,0,3,4,0,1,26,97
Kyle Quincey,FA,D,82,4,9,13,-5,88,106,1,0,0,0,0,88,109
Roman Polak,DAL,D,72,4,9,13,3,71,83,0,0,0,0,0,151,131
Eric Brewer,FA,D,77,4,13,17,10,59,83,2,0,0,0,2,139,99
T.J. Brodie,CGY,D,81,4,27,31,0,20,104,2,1,6,0,2,58,130
Luke Schenn,TB,D,79,4,8,12,0,58,78,0,0,0,0,1,260,113
Drayson Bowman,FA,LW,70,4,8,12,-2,16,80,0,0,0,0,0,45,18
Thomas Hickey,NYI,D,82,4,18,22,5,34,96,0,0,1,0,1,72,132
Kevin Westgarth,FA,RW,48,4,3,7,-4,68,31,1,0,0,0,0,45,10
Trevor Smith,FA,C,28,4,5,9,-3,4,24,2,0,1,0,0,45,16
Tim Jackman,FA,RW,36,4,1,5,-3,103,46,0,0,0,0,0,69,4
Tomas Kopecky,FA,RW,49,4,8,12,0,18,95,0,0,0,1,0,31,19
Jay Harrison,FA,D,68,4,11,15,-1,44,103,1,1,5,0,0,141,82
Radek Dvorak,FA,RW,60,4,5,9,3,41,52,2,0,0,0,0,17,25
Alex Tanguay,FA,LW,16,4,7,11,7,4,24,2,0,2,1,0,8,8
Jay Bouwmeester,STL,D,82,4,33,37,26,20,152,0,1,10,0,0,51,106
Kevin Bieksa,FA,D,76,4,20,24,-8,104,167,1,1,7,0,0,144,130
Zac Dalpe,CLS,C,55,4,3,7,-7,6,52,0,1,0,0,0,36,9
Peter Regin,FA,C,61,4,7,11,-5,20,69,0,0,1,0,2,43,19
Chris Conner,NJ,RW,19,4,1,5,-3,2,17,0,0,0,0,0,21,10
Derek Dorsett,FA,RW,51,4,4,8,-1,128,67,0,0,0,0,0,102,27
T.J. Galiardi,FA,LW,62,4,13,17,-13,21,100,0,0,0,1,1,77,43
Steve Downie,ARI,RW,62,4,20,24,1,106,88,1,3,3,0,0,70,18
Dennis Wideman,FA,D,46,4,17,21,-15,18,102,0,2,2,0,1,62,75
Brian McGrattan,FA,RW,76,4,4,8,-4,100,79,0,0,0,0,0,82,23
Fedor Tyutin,FA,D,69,4,22,26,6,44,87,0,1,8,0,2,91,89
Tye McGinn,VGK,LW,18,4,1,5,-1,4,16,0,0,0,0,0,26,7
Mark Arcobello,FA,RW,41,4,14,18,-7,8,70,1,1,2,0,0,78,23
Tanner Pearson,VAN,LW,25,3,4,7,2,8,31,1,1,0,0,0,35,9
Radko Gudas,WAS,D,73,3,19,22,2,152,114,1,1,3,0,0,273,138
Barret Jackman,FA,D,79,3,12,15,11,97,83,1,0,0,0,0,96,130
Carl Gunnarsson,STL,D,80,3,14,17,12,34,48,1,0,1,0,0,166,176
Jordan Schroeder,FA,C,25,3,3,6,-7,2,25,0,0,1,0,0,20,8
Johnny Oduya,FA,D,77,3,13,16,11,38,83,1,0,0,0,1,49,114
Marco Scandella,STL,D,76,3,14,17,10,20,80,1,0,0,0,0,70,102
Richard Panik,WAS,RW,50,3,10,13,-9,21,56,0,0,4,0,0,70,16
Troy Bodie,FA,RW,47,3,7,10,6,26,50,0,0,0,0,0,64,19
Alexei Emelin,FA,D,59,3,14,17,-1,59,58,0,1,2,0,0,189,127
Dmitry Orlov,WAS,D,54,3,8,11,-1,19,59,0,0,1,0,0,75,62
Andrew Desjardins,FA,C,81,3,14,17,-8,86,95,1,0,0,0,0,103,43
Kyle Clifford,TOR,LW,71,3,5,8,6,81,74,0,0,0,0,0,189,13
Jordan Szwarz,OTT,RW,26,3,0,3,-6,19,25,1,0,0,0,0,23,7
Brad Stuart,FA,D,61,3,8,11,4,35,64,3,0,0,0,0,122,114
Lubomir Visnovsky,FA,D,24,3,8,11,-1,10,34,1,2,5,0,0,14,26
Paul Martin,FA,D,39,3,12,15,-4,10,54,2,1,8,0,0,30,74
Will Acton,FA,C,30,3,2,5,-2,21,18,1,0,0,0,0,37,14
Brad Malone,EDM,C,32,3,2,5,-4,23,16,0,0,0,0,0,79,5
Stephane Da Costa,FA,C,12,3,1,4,2,2,20,0,1,0,0,0,14,3
Calvin de Haan,CHI,D,51,3,13,16,-7,30,71,1,1,2,0,0,114,104
Dylan Olsen,FA,D,44,3,9,12,-3,8,60,0,0,1,0,0,116,55
Travis Hamonic,CGY,D,69,3,15,18,2,68,134,0,2,1,0,0,93,132
Eric O'Dell,FA,C,30,3,4,7,-2,10,17,1,0,0,0,0,31,12
J.T. Miller,VAN,C,30,3,3,6,-6,18,46,0,0,2,0,0,44,17
Joe Corvo,FA,D,25,3,7,10,-7,10,54,0,0,2,0,0,15,24
Martin Erat,FA,RW,70,3,26,29,5,28,53,0,0,4,0,0,75,25
Andrew Ference,FA,D,71,3,15,18,-18,63,77,1,0,2,0,0,135,108
Robyn Regehr,FA,D,79,3,11,14,6,46,73,1,0,0,0,0,211,96
Rich Clune,TOR,LW,58,3,4,7,-7,166,29,1,0,0,0,0,132,9
Michael Del Zotto,ANH,D,67,3,13,16,-9,18,90,0,1,4,0,0,78,75
Jesse Joensuu,FA,RW,42,3,2,5,-16,16,41,1,1,0,0,0,63,18
Steve Bernier,NYI,RW,78,3,9,12,-15,33,104,1,0,1,0,0,118,23
Erik Gudbranson,ANH,D,65,3,6,9,-7,114,92,0,0,1,0,0,158,91
Tom Wilson,WAS,RW,82,3,7,10,1,151,63,0,1,0,0,0,197,13
Tom Pyatt,FA,C,27,3,4,7,-2,4,27,1,0,0,0,0,11,20
Philip Larsen,FA,D,30,3,9,12,-4,8,47,0,1,4,0,1,44,31
Zach Bogosian,TB,D,55,3,8,11,3,48,134,0,0,1,0,0,94,75
Bracken Kearns,FA,C,25,3,2,5,-2,6,37,0,1,0,0,0,45,16
Eric Tangradi,FA,LW,55,3,3,6,-6,21,52,0,0,0,0,0,105,17
Raffi Torres,FA,LW,5,3,2,5,4,7,9,0,0,0,0,0,9,2
Scott Hannan,FA,D,56,3,9,12,1,55,52,0,0,0,0,1,29,73
Stephane Veilleux,FA,LW,34,3,0,3,-2,21,26,0,0,0,0,0,41,20
Cam Janssen,FA,RW,24,3,0,3,3,22,11,0,0,0,0,0,32,3
Mike Hoffman,FLA,LW,25,3,3,6,-2,2,61,0,1,2,0,0,18,7
Evgeny Kuznetsov,WAS,C,17,3,6,9,-2,6,22,0,0,2,1,0,7,2
Ian Cole,COL,D,46,3,8,11,15,31,45,0,0,2,0,0,24,68
Marc Staal,NYR,D,72,3,11,14,-1,24,92,0,1,0,0,1,83,84
Brian Strait,NJ,D,47,3,6,9,-14,14,40,0,0,0,0,1,65,86
Tom Gilbert,FA,D,73,3,25,28,-5,18,93,1,2,4,0,0,59,95
B.J. Crombeen,FA,RW,55,3,7,10,-2,79,60,1,0,0,0,1,57,15
Beau Bennett,ARI,RW,21,3,4,7,-2,0,27,1,0,0,0,0,32,7
Jordie Benn,VAN,D,78,3,17,20,16,30,91,0,1,1,0,1,118,122
Nicklas Jensen,FA,RW,17,3,3,6,-1,10,30,1,0,1,0,0,7,6
Cody Ceci,TOR,D,49,3,6,9,-5,14,82,2,0,0,0,0,45,49
Markus Granlund,FA,C,7,2,1,3,2,0,9,0,0,0,1,0,3,1
Raphael Diaz,FA,D,63,2,13,15,-2,16,68,0,0,4,0,1,36,127
Matt Fraser,FA,RW,14,2,0,2,0,10,13,0,0,0,0,0,10,5
Stephen Weiss,FA,C,26,2,2,4,-4,12,28,1,0,0,0,1,4,10
Chuck Kobasew,FA,RW,33,2,0,2,1,15,37,2,0,0,0,0,49,18
Brooks Orpik,FA,D,72,2,11,13,-3,46,50,0,0,0,0,0,221,143
Francis Bouillon,FA,D,52,2,4,6,-5,34,34,1,0,1,0,0,80,70
Jay Rosehill,FA,LW,34,2,0,2,-8,90,14,0,0,0,0,0,48,4
Dustin Jeffrey,FA,C,34,2,2,4,-4,2,30,0,0,0,0,0,6,5
Brett Bellemore,FA,D,64,2,6,8,-1,45,54,0,0,0,0,0,169,98
Alex Grant,FA,D,2,2,0,2,3,2,2,0,0,0,0,0,1,0
Ladislav Smid,FA,D,73,2,6,8,-10,78,41,0,0,0,0,0,193,168
Patrick Eaves,ANH,RW,30,2,3,5,-7,2,53,0,1,2,0,0,43,5
Sheldon Brookbank,FA,D,48,2,5,7,2,52,43,1,0,0,0,0,64,38
Henrik Tallinder,FA,D,64,2,6,8,-21,34,40,0,0,0,0,0,39,76
Zbynek Michalek,FA,D,59,2,8,10,6,24,78,1,0,0,0,0,55,165
Ryan Jones,FA,LW,52,2,4,6,0,40,59,1,0,0,0,0,74,21
Sven Baertschi,VAN,LW,26,2,9,11,-4,6,30,0,1,3,0,0,22,19
Matt Irwin,ANH,D,62,2,17,19,5,35,147,0,1,5,0,0,62,93
Aaron Volpatti,FA,LW,41,2,0,2,-3,49,18,0,0,0,0,0,77,10
Rasmus Ristolainen,BUF,D,34,2,2,4,-15,6,52,0,0,0,0,0,66,32
Corey Tropp,ANH,RW,53,2,9,11,3,37,35,0,0,0,0,0,112,28
Eric Gryba,FA,D,57,2,9,11,9,64,57,0,0,0,0,1,161,60
Reid Boucher,FA,RW,23,2,5,7,2,4,27,0,0,0,0,0,17,5
Matt Frattin,FA,RW,44,2,5,7,-4,11,61,0,1,1,0,0,85,11
Matt Carle,FA,D,82,2,29,31,11,28,115,0,1,6,0,0,46,161
Chris Thorburn,FA,RW,55,2,9,11,0,65,26,1,0,0,0,0,108,34
Travis Moen,FA,LW,65,2,10,12,2,49,56,0,0,0,0,1,92,54
Chris Butler,FA,D,82,2,14,16,-23,39,83,1,0,0,0,1,68,211
Luke Gazdic,ANH,LW,67,2,2,4,-8,127,30,0,0,0,0,0,103,22
Jean-Gabriel Pageau,NYI,C,28,2,0,2,-5,12,31,0,0,0,0,0,41,12
Ryan Murphy,FA,D,48,2,10,12,-9,10,81,0,1,2,0,0,22,58
Nate Prosser,PHI,D,53,2,6,8,2,58,30,2,0,1,0,1,22,83
Kevin Klein,FA,D,77,2,7,9,-7,21,73,0,0,0,0,0,111,137
Cody McCormick,FA,C,43,2,5,7,-6,52,26,0,0,0,0,0,76,21
Keith Ballard,FA,D,45,2,7,9,-7,37,29,0,0,2,0,0,58,37
Karl Alzner,MON,D,82,2,16,18,-7,26,95,1,0,1,0,2,73,158
Tim Kennedy,FA,LW,37,2,6,8,0,4,42,0,0,0,0,0,62,21
Blair Jones,FA,C,14,2,0,2,0,21,14,0,0,0,1,0,30,5
Chris Summers,FA,D,18,2,1,3,0,15,17,0,0,0,0,0,33,25
Ryan White,FA,RW,52,2,4,6,-8,50,51,1,0,0,0,0,88,37
Steven Oleksy,FA,D,33,2,8,10,7,53,27,1,0,0,0,0,46,48
Mike Brown,FA,RW,56,2,3,5,-9,94,45,0,0,0,0,0,146,15
Sergei Gonchar,FA,D,76,2,20,22,-12,20,89,1,1,13,0,0,71,81
Paul Bissonnette,FA,LW,39,2,6,8,6,53,25,0,0,0,0,0,51,4
Nikita Nikitin,FA,D,66,2,13,15,9,20,95,1,0,0,0,0,84,72
Brandon McMillan,FA,LW,22,2,4,6,0,4,35,0,0,0,0,0,50,7
Jon Merrill,VGK,D,52,2,9,11,-3,12,45,2,0,2,0,0,27,41
Mikhail Grigorenko,FA,C,18,2,1,3,-3,2,20,0,0,1,0,0,6,5
Harry Zolnierczyk,NYR,LW,13,2,0,2,0,12,12,0,0,0,0,0,14,5
Devante Smith-Pelly,FA,RW,19,2,8,10,5,2,23,0,0,0,0,0,50,13
Calle Jarnkrok,NSH,C,12,2,7,9,7,4,13,0,0,1,0,0,2,4
Matt Greene,FA,D,38,2,4,6,6,47,38,0,0,0,0,0,118,59
Scott Gomez,FA,C,46,2,10,12,-11,24,56,0,0,2,0,0,16,16
Casey Wellman,FA,C,13,2,1,3,3,0,15,0,0,0,0,0,9,5
Anthony Peluso,EDM,RW,53,2,3,5,-5,65,24,0,0,0,0,0,85,3
Grant Clitsome,FA,D,32,2,10,12,-5,18,42,0,0,2,0,0,51,42
Taylor Fedun,DAL,D,4,2,0,2,-1,0,6,0,0,0,0,0,1,3
Nate Schmidt,VGK,D,29,2,4,6,4,6,41,0,0,0,0,0,18,35
Mark Stuart,FA,D,69,2,11,13,11,101,73,0,0,0,0,0,229,160
Erik Gustafsson,FA,D,31,2,8,10,7,6,30,0,0,2,0,0,11,50
Jakub Kindl,FA,D,66,2,17,19,-4,24,93,0,0,7,0,0,57,42
Keaton Ellerby,FA,D,51,2,4,6,4,2,33,1,1,0,0,0,76,46
Torrey Mitchell,FA,C,67,2,8,10,-3,25,56,0,0,0,0,0,60,25
Ryan Reaves,VGK,RW,63,2,6,8,-1,126,25,0,0,0,0,0,211,12
Eric Boulton,FA,LW,23,2,2,4,0,88,21,0,0,0,0,0,32,6
John-Michael Liles,FA,D,41,2,7,9,5,8,56,0,1,3,0,0,50,80
Dalton Prout,SJ,D,49,2,4,6,-7,37,56,0,0,0,0,0,99,65
Matt Donovan,NSH,D,52,2,14,16,-9,26,86,0,1,5,0,0,68,72
Zac Rinaldo,CGY,C,67,2,2,4,-13,153,54,1,0,0,0,0,231,12
Morgan Rielly,TOR,D,73,2,25,27,-13,12,96,0,1,11,0,0,96,92
Kellan Lain,FA,RW,9,1,0,1,1,21,7,0,0,0,0,0,7,1
Andrej Sustr,FA,D,43,1,7,8,3,16,39,0,0,0,0,2,26,36
Alexander Urbom,FA,D,20,1,1,2,1,19,16,0,0,0,0,1,25,13
Darren Archibald,OTT,RW,16,1,2,3,1,0,11,0,0,0,0,0,30,9
Jim Slater,FA,C,27,1,1,2,-5,8,24,0,0,0,0,0,41,7
Chris Phillips,OTT,D,70,1,14,15,-12,30,90,0,1,7,0,0,140,95
Bryce Salvador,FA,D,40,1,3,4,-2,29,24,0,0,0,0,0,47,50
Marc-Andre Cliche,TOR,C,76,1,6,7,-11,17,69,0,0,0,0,1,25,42
Luca Sbisa,WPG,D,30,1,5,6,0,43,30,0,0,0,0,0,83,38
Brian Lashoff,DET,D,75,1,5,6,-2,36,38,0,0,0,0,0,65,93
Mark Fraser,FA,D,42,1,1,2,-15,76,11,0,0,0,0,0,118,95
John Scott,FA,LW,56,1,0,1,-12,125,16,0,0,0,0,0,95,21
Joe Vitale,FA,C,53,1,13,14,-1,29,42,1,0,1,0,0,89,22
Jordan Caron,FA,RW,35,1,2,3,-8,36,52,0,0,0,0,0,47,9
Rostislav Klesla,FA,D,25,1,3,4,-3,24,22,0,0,0,0,0,41,25
Eriah Hayes,FA,RW,15,1,0,1,-2,2,17,0,0,0,0,0,40,10
Corban Knight,FA,C,7,1,0,1,-1,0,4,0,0,0,0,0,9,4
Oscar Klefbom,EDM,D,17,1,2,3,-6,0,14,0,0,0,0,0,6,25
Frank Corrado,FA,D,15,1,0,1,-2,4,20,0,0,0,0,0,9,17
Mike Weber,FA,D,68,1,8,9,-29,73,47,0,0,0,0,1,208,161
Matt Kassian,FA,LW,33,1,1,2,-1,63,12,0,0,0,0,0,52,3
Julien Brouillette,FA,D,10,1,1,2,3,0,4,1,0,0,0,0,10,11
Dennis Seidenberg,FA,D,34,1,9,10,11,10,53,0,0,0,0,0,61,66
Ed Jovanovski,FA,D,37,1,4,5,-6,39,44,0,0,1,0,1,34,42
Justin Florek,FA,LW,4,1,1,2,1,0,5,0,0,0,0,0,4,0
Kenny Agostino,TOR,LW,8,1,1,2,-2,0,12,0,0,0,0,0,9,3
Kevan Miller,BOS,D,47,1,5,6,20,38,41,1,0,0,0,0,103,85
Roman Horak,EDM,C,3,1,0,1,-1,0,2,0,0,0,0,0,0,4
Zach Redmond,FA,D,10,1,2,3,1,0,10,0,0,0,0,0,7,11
Carl Klingberg,NYR,LW,3,1,0,1,2,0,3,0,0,0,0,0,2,1
Connor Murphy,CHI,D,30,1,7,8,5,10,30,1,0,0,0,0,44,38
Josh Leivo,VAN,LW,7,1,1,2,0,0,4,0,0,0,0,0,5,0
Connor Carrick,NJ,D,34,1,5,6,-9,23,26,0,0,0,0,0,25,56
Johnny Gaudreau,CGY,LW,1,1,0,1,1,0,1,0,0,0,0,0,0,0
Mike Halmo,FA,RW,20,1,0,1,-1,32,25,0,0,0,0,0,52,4
Nikita Zadorov,COL,D,7,1,0,1,-4,4,4,0,0,0,0,0,25,3
Ryan Stanton,LA,D,64,1,15,16,5,32,65,0,0,0,0,0,97,81
Luke Adam,FA,LW,12,1,0,1,0,4,16,0,0,0,0,0,16,1
David Warsofsky,PIT,D,6,1,1,2,1,0,10,0,0,0,0,0,0,4
Brett Connolly,FLA,RW,11,1,0,1,-5,4,12,1,0,0,0,0,9,1
Mark Pysyk,FLA,D,44,1,6,7,-11,16,51,1,0,2,0,0,37,57
